D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.1,  0.5,  1.0, 0.42, 0.82, .505
 0.1,  0.6,  1.0, .427, 0.84, .505
 0.1,  0.6,  1.0, .427, 0.74, .491
 0.1,  0.6,  1.0, .429, 0.84, 0.51
 0.1,  0.6,  1.0, .433, 0.82, .478
 0.1,  0.6,  1.0, .425, 0.82, .535
 0.1,  0.6,  1.0, .435, 0.72, .503
 0.1,  0.6,  1.0, 0.48, .667, .445
 0.1,  0.6,  1.0, .426, 0.88, .515
 0.1,  0.6,  1.0, .423, 0.86, .479
 0.1,  0.6,  1.0, .429, 0.78, .473
 0.1,  0.6,  1.0, .421, 0.78, .502
 0.1,  0.6,  1.0, .432,  0.9, .528
 0.1,  0.6,  1.0, .433, 0.72, .495
 0.1,  0.6,  1.0, .425, 0.78, .463
 0.1,  0.6,  1.0, .426, 0.74, .495
 0.1,  0.6,  1.0, .416, 0.84, .519
 0.1,  0.6,  1.0, .429, 0.88, .496
 0.1,  0.6,  1.0, .429,  0.9, .505
 0.1,  0.6,  1.0, .434, 0.82, .508
 0.1,  0.6,  1.0, 0.42, 0.88, .465
 0.1,  0.6,  1.0, .423, 0.78, .513
 0.1,  0.6,  1.0, .426, 0.88, .494
 0.1,  0.6,  1.0, .431, 0.82, 0.48
 0.1,  0.6,  1.0, .419, 0.72, .504
 0.1,  0.6,  1.0, .428, 0.88, .484
